word,need,focus
high,1,0
every,1,0
near,1,0
add,1,0
food,1,0
between,1,0
own,1,0
below,1,0
country,1,0
plant,1,0
last,1,0
school,1,0
father,1,0
keep ,1,0
tree,1,0
never,1,0
start,1,0
city,1,0
earth,1,0
eyes,1,0
light,1,0
thought,1,0
head,1,0
under,1,0
story,1,0
saw,1,0
left,1,0
don't,1,0
few,1,0
while,1,0
along,1,0
might,1,0
close,1,0
something,1,0
seem,1,0
next,1,0
hard,1,0
open,1,0
example,1,0
begin,1,0
life,1,0
always,1,0
those,1,0
both,1,0
paper,1,0
together,1,0
got,1,0
group,1,0
often,1,0
run,1,0
important,1,0
until,1,0
children,1,0
side,1,0
feet,1,0
car,1,0
mile,1,0
night,1,0
walk,1,0
white,1,0
sea,1,0
began,1,0
grow,1,0
took,1,0
river,1,0
four,1,0
carry,1,0
state,1,0
once,1,0
book,1,0
hear,1,0
stop,1,0
without,1,0
second,1,0
late,1,0
miss,1,0
idea,1,0
enough,1,0
eat,1,0
face,1,0
watch,1,0
far,1,0
Indian,1,0
real,1,0
almost,1,0
let,1,0
above,1,0
girl,1,0
sometimes,1,0
mountains,1,0
cut,1,0
young,1,0
talk,1,0
soon,1,0
list,1,0
song,1,0
being,1,0
leave,1,0
family,1,0
it's,1,0
done,1,0
English,1,0
road,1,0
half,1,0
ten,1,0
fly,1,0
gave,1,0
box,1,0
finally,1,0
wait,1,0
correct,1,0
oh,1,0
quickly,1,0
person,1,0
became,1,0
shown,1,0
minutes,1,0
strong,1,0
verb,1,0
stars,1,0
front,1,0
feel,1,0
fact,1,0
inches,1,0
street,1,0
decided,1,0
contain,1,0
course,1,0
surface,1,0
produce,1,0
building,1,0
ocean,1,0
class,1,0
note,1,0
nothing,1,0
rest,1,0
carefully,1,0
scientists,1,0
inside,1,0
wheels,1,0
stay,1,0
green,1,0
known,1,0
island,1,0
week,1,0
less,1,0
machine,1,0
base,1,0
ago,1,0
stood,1,0
plane,1,0
system,1,0
behind,1,0
ran,1,0
round,1,0
boat,1,0
game,1,0
force,1,0
brought,1,0
understand,1,0
warm,1,0
common,1,0
bring,1,0
explain,1,0
dry,1,0
though,1,0
language,1,0
shape,1,0
deep,1,0
thousands,1,0
yes,1,0
clear,1,0
equation,1,0
yet,1,0
government,1,0
filled,1,0
heat,1,0
full,1,0
hot,1,0
check,1,0
object,1,0
am,1,0
rule,1,0
among,1,0
noun,1,0
power,1,0
cannot,1,0
able,1,0
six,1,0
size,1,0
dark,1,0
ball,1,0
material,1,0
special,1,0
heavy,1,0
fine,1,0
pair,1,0
circle,1,0
include,1,0
built,1,0
cross,1,0
speak,1,0
solve,1,0
appear,1,0
metal,1,0
son,1,0
either,1,0
ice,1,0
sleep,1,0
village,1,0
factors,1,0
result,1,0
jumped,1,0
snow,1,0
ride,1,0
care,1,0
floor,1,0
hill,1,0
pushed,1,0
baby,1,0
buy,1,0
century,1,0
outside,1,0
everything,1,0
tall,1,0
already,1,0
instead,1,0
phrase,1,0
soil,1,0
bed,1,0
copy,1,0
free,1,0
hope,1,0
spring,1,0
case,1,0
laughed,1,0
nation,1,0
quite,1,0
type,1,0
themselves,1,0
temperature,1,0
bright,1,0
lead,1,0
everyone,1,0
method,1,0
section,1,0
lake,1,0
iron,1,0
within,1,0
dictionary,1,0
hair,1,0
age,1,0
amount,1,0
scale,1,0
pounds,1,0
although,1,0
per,1,0
broken,1,0
moment,1,0
tiny,1,0
possible,1,0
gold,1,0
milk,1,0
quiet,1,0
natural,1,0
lot,1,0
stone,1,0
act,1,0
build,1,0
middle,1,0
speed,1,0
count,1,0
consonant,1,0
someone,1,0
sail,1,0
rolled,1,0
bear,1,0
wonder,1,0
smiled,1,0
angle,1,0
fraction,1,0
Africa,1,0
killed,1,0
melody,1,0
bottom,1,0
trip,1,0
hole,1,0
poor,1,0
let's ,1,0
fight,1,0
surprise,1,0
French,1,0
died,1,0
beat,1,0
exactly,1,0
remain,1,0
dress,1,0
cat,1,0
couldn't,1,0
fingers,1,0
supply,1,0
corner,1,0
electric,1,0
insects,1,0
crops,1,0
tone,1,0
hit,1,0
sand,1,0
doctor,1,0
provide,1,0
thus,1,0
won't,1,0
cook,1,0
bones,1,0
mall,1,0
board,1,0
modern,1,0
compound,1,0
mine,1,0
wasn't,1,0
fit,1,0
addition,1,0
belong,1,0
safe,1,0
soldiers,1,0
guess,1,0
silent,1,0
trade,1,0
rather,1,0
compare,1,0
crowd,1,0
poem,1,0
enjoy,1,0
elements,1,0
indicate,1,0
except,1,0
expect,1,0
flat,1,0
seven,1,0
interesting,1,0
sense,1,0
string,1,0
blow,1,0
famous,1,0
value,1,0
wings,1,0
movement,1,0
pole,1,0
exciting,1,0
branches,1,0
thick,1,0
blood,1,0
lie,1,0
spot,1,0
bell,1,0
fun,1,0
loud,1,0
consider,1,0
suggested,1,0
thin,1,0
position,1,0
entered,1,0
fruit,1,0
tied,1,0
rich,1,0
dollars,1,0
send,1,0
sight,1,0
chief,1,0
Japanese,1,0
stream,1,0
planets,1,0
rhythm,1,0
eight,1,0
science,1,0
major,1,0
observe,1,0
tube,1,0
necessary,1,0
weight,1,0
meat,1,0
lifted,1,0
process,1,0
army,1,0
hat,1,0
property,1,0
particular,1,0
swim,1,0
terms,1,0
current,1,0
park,1,0
sell,1,0
shoulder,1,0
industry,1,0
wash,1,0
block,1,0
spread,1,0
cattle,1,0
wife,1,0
sharp,1,0
